,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
301,Bright Outdoor Media Limited,2023-03-24,146,157.5,0.000788,583.7,0.029979,2023,0
302,Labelkraft Technologies Limited,2023-03-23,55,55.79,0.000144,63.0,0.001455,2023,0
303,Sudarshan Pharma Industries Ltd,2023-03-22,73,69.35,-0.0005,28.82,-0.006051999999999999,2023,0
304,VELS Film International Limited,2023-03-22,99,103.4,0.000444,,-0.002379,2023,0
305,MCON Rasayan India Limited,2023-03-20,40,50.4,0.0026,,0.018375,2023,0
306,Prospect Commodities Limited,2023-03-20,61,61.45,7.400000000000001e-05,72.2,0.001836,2023,0
307,Systango Technologies Limited,2023-03-15,90,102.9,0.001433,,0.017378,2023,0
308,Vertexplus Technologies Limited,2023-03-15,96,106.05,0.001047,,0.000417,2023,0
309,ITCONS E-Solutions Limited,2023-03-13,51,49.33,-0.000327,504.85,0.08898999999999999,2023,0
310,ResGen Limited,2023-03-13,47,46.57,-9.1e-05,84.89,0.008062,2023,0
311,SVJ Enterprises Limited,2023-03-09,36,36.1,2.8e-05,195.65,0.044347,2023,0
312,Srivasavi Adhesive Tapes Limited,2023-03-09,41,42.0,0.000244,,0.007561,2023,0
313,Amanaya Ventures Limited,2023-03-09,23,19.1,-0.001696,13.5,-0.00413,2023,0
314,Patron Exim Limited,2023-03-06,27,26.98,-7e-06,6.1,-0.007741,2023,0
315,Viaz Tyres Limited,2023-03-01,62,68.05,0.0009760000000000001,,-0.0008309999999999999,2023,0
316,Macfos Limited,2023-03-01,102,174.8,0.007137,790.0,0.067451,2023,0
317,Sealmatic India Limited,2023-03-01,225,236.25,0.0005,611.6,0.017182,2023,0
318,Agarwal Float Glass India Limited,2023-02-23,42,44.05,0.000488,,0.002357,2023,0
319,Indong Tea Company Limited,2023-02-21,26,21.8,-0.001615,15.22,-0.004146,2023,0
320,Lead Reclaim and Rubber Products Limited,2023-02-21,25,27.65,0.00106,,0.02124,2023,0
321,Shera Energy Limited,2023-02-17,57,67.3,0.001807,,0.017175,2023,0
322,Earthstahl & Alloys Limited,2023-02-08,40,57.75,0.004438,26.0,-0.0035,2023,0
323,Gayatri Rubbers and Chemicals Limited,2023-02-07,30,36.75,0.00225,,0.15435,2023,1
324,Transvoy Logistics India Limited,2023-02-02,71,74.55,0.0005,94.2,0.003268,2023,0
325,DHARNI Capital Services Limited,2023-01-31,20,20.25,0.000125,53.5,0.01675,2023,0
326,Aristo Bio-Tech and Lifescience Limited,2023-01-30,72,84.0,0.001667,,0.006042,2023,0
327,Ducol Organics And Colours Limited,2023-01-19,78,117.5,0.005064,,0.004615,2023,0
328,Eastern Logica Infoway Limited,2023-01-17,225,283.5,0.0026,225.0,0.0,2023,0
329,Chaman Metallics Limited,2023-01-16,38,64.6,0.006999999999999999,,0.029276,2023,0
330,SVS Ventures Limited,2023-01-12,20,21.5,0.00075,8.17,-0.005915,2023,0
331,Rex Sealing and Packing Industries Limited,2023-01-12,135,143.85,0.000656,149.5,0.001074,2023,0
332,Anlon Technology Solutions Limited,2023-01-10,100,263.65,0.016365,,0.026535,2023,0
